1000000010;004;000001;000000100;2021-02-02;2021-01-01T12:00:00;123.456.789-00;9.99;10.99;5.99;
1000000011;005;000002;000000110;2021-02-03;2021-01-01T13:00:00;123.456.789-01;19.99;10.99;5.99;
1000000012;006;000003;000000120;2021-02-04;2021-01-02T13:00:00;123.456.789-02;29.99;10.99;5.99;
1000000013;007;000004;000000130;2021-02-05;2021-01-02T13:00:00;123.456.789-03;39.99;10.99;5.99;
1000000014;008;000005;000000140;2021-02-06;2021-01-03T14:00:00;123.456.789-04;49.99;10.99;5.99;
1000000015;004;000006;000000150;2021-02-07;2021-01-03T14:00:00;123.456.789-05;59.99;10.99;5.99;
1000000016;005;000007;000000160;2021-02-08;2021-01-04T14:00:00;123.456.789-06;69.99;10.99;5.99;
1000000017;006;000008;000000170;2021-02-09;2021-01-04T16:00:00;123.456.789-07;79.99;10.99;5.99;
1000000018;007;000009;000000180;2021-02-10;2021-01-05T16:00:00;123.456.789-08;89.99;10.99;5.99;
1000000019;008;000010;000000190;2021-02-11;2021-01-05T16:00:00;123.456.789-09;99.99;10.99;5.99;
